"ID","Nombre de la ocupación","Nivel","Número de Inscritos 2019","Número de Inscritos 2020","Participacion (%)  2019","Participacion (%)  2020","% Variacion    2020  vs  2019","Contribución a la variación"
"54","Profesionales de Talento Humano","Profesional","1,272","836","0.44","0.37","-3.43","-0.15"
"55","Profesionales en Organización y Administración de las Empresas","Profesional","1,448","1,172","0.5","0.52","-1.91","-0.09"
"56","Evaluadores de Competencias Laborales","Profesional","6","3","0","0","-5","0"
"57","Archivistas","Profesional","127","100","0.04","0.04","-2.13","-0.01"
"58","Físicos y Astrónomos","Profesional","26","16","0.01","0.01","-3.85","0"
"59","Químicos","Profesional","69","50","0.02","0.02","-2.75","-0.01"
"60","Geólogos, Geoquímicos y Geofísicos","Profesional","68","65","0.02","0.03","-0.44","0"
"61","Meteorólogos","Profesional","3","0","0",,"-10","0"
"62","Biólogos, Botánicos, Zoólogos y Relacionados","Profesional","269","204","0.09","0.09","-2.42","-0.02"
"63","Expertos Forestales","Profesional","32","31","0.01","0.01","-0.31","0"
"64","Expertos Agrícolas y Pecuarios","Profesional","990","655","0.34","0.29","-3.38","-0.11"
"65","Administradores Ambientales","Profesional","1,764","956","0.6","0.43","-4.58","-0.28"
"66","Ingenieros en Construcción y Obras Civiles","Profesional","771","590","0.26","0.26","-2.35","-0.06"
"67","Ingenieros Mecánicos","Profesional","309","211","0.11","0.09","-3.17","-0.03"
"68","Ingenieros Electricistas","Profesional","177","186","0.06","0.08","0.51","0"
"69","Ingenieros  Electrónicos","Profesional","161","181","0.06","0.08","1.24","0.01"
"70","Ingenieros Químicos","Profesional","114","108","0.04","0.05","-0.53","0"
"71","Ingenieros de Automatización e Instrumentación","Profesional","156","194","0.05","0.09","2.44","0.01"
"72","Ingenieros  de Telecomunicaciones","Profesional","93","75","0.03","0.03","-1.94","-0.01"
"73","Ingenieros Navales","Profesional","8","1","0","0","-8.75","0"
"74","Ingenieros Industriales y de Fabricación","Profesional","926","527","0.32","0.24","-4.31","-0.14"
"75","Ingenieros de Materiales y Metalurgia","Profesional","23","19","0.01","0.01","-1.74","0"
"76","Ingenieros de Minas","Profesional","36","20","0.01","0.01","-4.44","-0.01"
"77","Ingenieros de Petróleos","Profesional","65","166","0.02","0.07","15.54","0.03"
"78","Ingenieros de Tecnologías de la Información","Profesional","538","477","0.18","0.21","-1.13","-0.02"
"79","Otros Ingenieros n.c.a.","Profesional","653","435","0.22","0.19","-3.34","-0.07"
"80","Ingenieros y Productores de Audio y Sonido","Profesional",,"43",,"0.02","10",
"81","Arquitectos","Profesional","420","248","0.14","0.11","-4.1","-0.06"
"82","Urbanistas y Planificadores del Uso del Suelo","Profesional","10","10","0","0","0","0"
"83","Ingenieros Topográficos","Profesional","22","20","0.01","0.01","-0.91","0"
"84","Diseñadores Industriales","Profesional","119","55","0.04","0.02","-5.38","-0.02"
"85","Matemáticos, Estadísticos y Actuarios","Profesional","146","62","0.05","0.03","-5.75","-0.03"
"86","Analistas de Sistemas Informáticos","Profesional","2,036","1,652","0.7","0.74","-1.89","-0.13"
"87","Administradores de Servicios de Tecnologías de la Información","Profesional","1,471","1,322","0.5","0.59","-1.01","-0.05"
"88","Desarrolladores de Aplicaciones Informáticas y Digitales","Profesional","1,432","892","0.49","0.4","-3.77","-0.18"
"89","Médicos Especialistas","Profesional","96","120","0.03","0.05","2.5","0.01"
"90","Médicos Generales","Profesional","516","631","0.18","0.28","2.23","0.04"
"91","Odontólogos","Profesional","160","201","0.05","0.09","2.56","0.01"
"92","Veterinarios","Profesional","150","78","0.05","0.03","-4.8","-0.02"
"93","Optómetras","Profesional","12","5","0","0","-5.83","0"
"94","Otras Ocupaciones Profesionales en Diagnóstico y Tratamiento de la Salud n.c.a.","Profesional","0","0",,,,
"95","Farmacéuticos y Químicos Farmacéuticos","Profesional","148","70","0.05","0.03","-5.27","-0.03"
"96","Dietistas y Nutricionistas","Profesional","81","79","0.03","0.04","-0.25","0"
"97","Audiólogos y Terapeutas del Lenguaje","Profesional","51","31","0.02","0.01","-3.92","-0.01"
"98","Fisioterapeutas","Profesional","191","231","0.07","0.1","2.09","0.01"
"99","Terapeutas Ocupacionales","Profesional","9","29","0","0.01","22.22","0.01"
"100","Enfermeros","Profesional","662","613","0.23","0.27","-0.74","-0.02"
"101","Psicólogos","Profesional","884","746","0.3","0.33","-1.56","-0.05"
"102","Jueces","Profesional","1","1","0","0","0","0"
"103","Abogados","Profesional","1,098","811","0.38","0.36","-2.61","-0.1"
"104","Profesores de Educación Superior","Profesional","723","424","0.25","0.19","-4.14","-0.1"
"105","Especialistas en Procesos Pedagógicos","Profesional","246","89","0.08","0.04","-6.38","-0.05"
"106","Profesores e Instructores de Formación para el Trabajo","Profesional","990","903","0.34","0.4","-0.88","-0.03"
"107","Profesores de Educación Básica Secundaria y Media","Profesional","740","1,098","0.25","0.49","4.84","0.12"
"108","Profesores de Educación Básica Primaria","Profesional","688","536","0.24","0.24","-2.21","-0.05"
"109","Profesores de Preescolar","Profesional","454","301","0.16","0.13","-3.37","-0.05"
"110","Orientadores Educativos","Profesional","91","29","0.03","0.01","-6.81","-0.02"
"111","Pedagogo Reeducador","Profesional","774","161","0.26","0.07","-7.92","-0.21"
"112","Trabajadores Sociales y Consultores de Familia","Profesional","120","68","0.04","0.03","-4.33","-0.02"
"113","Ministros del Culto","Profesional","2","5","0","0","15","0"
"114","Sociólogos, Antropólogos y Afines","Profesional","68","77","0.02","0.03","1.32","0"
"115","Filósofos, Filólogos y Afines","Profesional","50","48","0.02","0.02","-0.4","0"
"116","Consultores, Investigadores y Analistas de Política Económica","Profesional","244","185","0.08","0.08","-2.42","-0.02"
"117","Consultores y Funcionarios de Desarrollo Económico y Comercial","Profesional","163","161","0.06","0.07","-0.12","0"
"118","Investigadores, Consultores y Funcionarios de Políticas Sociales de Salud y de Educación","Profesional","45","55","0.02","0.02","2.22","0"
"119","Funcionarios de Programas Exclusivos de la Administración Pública","Profesional","119","69","0.04","0.03","-4.2","-0.02"
"120","Investigadores, Consultores y Funcionarios de Políticas de Ciencias Naturales y Aplicadas","Profesional","37","47","0.01","0.02","2.7","0"
"121","Profesionales en Gestión de Riesgo de Desastres","Profesional",,"12",,"0.01","10",
"122","Profesionales en ciencias forenses","Profesional","4","1","0","0","-7.5","0"
"123","Bibliotecólogos","Profesional","37","27","0.01","0.01","-2.7","0"
"124","Restauradores","Profesional","7","6","0","0","-1.43","0"
"125","Curadores","Profesional","1","0","0",,"-10","0"
"126","Escritores","Profesional","22","3","0.01","0","-8.64","-0.01"
"127","Editores y Redactores","Profesional","47","38","0.02","0.02","-1.91","0"
"128","Periodistas","Profesional","312","270","0.11","0.12","-1.35","-0.01"
"129","Traductores e Intérpretes","Profesional","14","13","0","0.01","-0.71","0"
"130","Ocupaciones Profesionales en Relaciones Públicas y Comunicaciones","Profesional","193","85","0.07","0.04","-5.6","-0.04"
"131","Publicistas","Profesional",,"42",,"0.02","10",
"132","Productores, Directores Artísticos, Coreógrafos y Ocupaciones Relacionadas","Profesional","42","23","0.01","0.01","-4.52","-0.01"
"133","Intérpretes Musicales","Profesional","200","65","0.07","0.03","-6.75","-0.05"
"134","Bailarines","Profesional","79","23","0.03","0.01","-7.09","-0.02"
"135","Actores","Profesional","106","31","0.04","0.01","-7.08","-0.03"
"136","Pintores, Escultores y Otros Artistas Visuales","Profesional","42","51","0.01","0.02","2.14","0"
"137","Directores e Investigadores Musicales","Profesional",,"11",,"0","10",
"138","Autores y Compositores Musicales","Profesional",,"37",,"0.02","10",
"139","Diseñadores Gráficos","Profesional","1,152","1,164","0.39","0.52","0.1","0"
"140","Administradores de Explotación Acuícola y Jefes de Laboratorio de Cultivo o Producción Acuícola","Profesional","118","199","0.04","0.09","6.86","0.03"
"141","Directores de Planta de Procesamiento de Alimentos y Bebidas","Profesional","9","4","0","0","-5.56","0"
"142","Jefe de Laboratorio de Alimentos","Profesional","3","1","0","0","-6.67","0"
"143","Supervisores de Empleados de Apoyo Administrativo","Técnicos Profesionales - Tecnólogos","259","140","0.05","0.04","-4.59","-0.02"
"144","Jefes y supervisores de entidades financieras","Técnicos Profesionales - Tecnólogos","34","22","0.01","0.01","-3.53","0"
"145","Supervisores y coordinadores de procesos de negocio, Empleados de información y servicio al cliente","Técnicos Profesionales - Tecnólogos","94","140","0.02","0.04","4.89","0.01"
"146","Supervisores de Empleados de Correo y Mensajería","Técnicos Profesionales - Tecnólogos","5","3","0","0","-4","0"
"147","Supervisores de Almacenamiento, Inventario y  Distribución","Técnicos Profesionales - Tecnólogos","410","280","0.09","0.07","-3.17","-0.03"
"148","Asistentes Administrativos","Técnicos Profesionales - Tecnólogos","6,982","5,503","1.45","1.4","-2.12","-0.31"
"149","Administradores de Propiedad Horizontal","Técnicos Profesionales - Tecnólogos","103","42","0.02","0.01","-5.92","-0.01"
"150","Asistentes de Talento Humano","Técnicos Profesionales - Tecnólogos","773","853","0.16","0.22","1.03","0.02"
"151","Asistentes de compras","Técnicos Profesionales - Tecnólogos","1,421","77","0.3","0.02","-9.46","-0.28"
"436","Enchapadores","Calificados","17","21","0","0","2.35","0"
"152","Asistentes de Juzgados, Tribunales y Afines","Técnicos Profesionales - Tecnólogos","29","12","0.01","0","-5.86","0"
"153","Funcionarios de Aduanas, Impuestos, Inmigración y Seguridad Social","Técnicos Profesionales - Tecnólogos","42","10","0.01","0","-7.62","-0.01"
"154","Asistentes de Comercio Exterior","Técnicos Profesionales - Tecnólogos","225","274","0.05","0.07","2.18","0.01"
"155","Técnicos en Archivística","Técnicos Profesionales - Tecnólogos","494","333","0.1","0.09","-3.26","-0.03"
"156","Asistentes Contables","Técnicos Profesionales - Tecnólogos","1,854","1,541","0.39","0.39","-1.69","-0.07"
"157","Analistas, Asistentes y Asesores de Servicios Financieros","Técnicos Profesionales - Tecnólogos","204","561","0.04","0.14","17.5","0.07"
"158","Evaluadores, Ajustadores, Analistas y Liquidadores de Seguros","Técnicos Profesionales - Tecnólogos","106","43","0.02","0.01","-5.94","-0.01"
"159","Agentes de Aduana","Técnicos Profesionales - Tecnólogos","181","408","0.04","0.1","12.54","0.05"
"160","Asistentes Financieros","Técnicos Profesionales - Tecnólogos","83","121","0.02","0.03","4.58","0.01"
"161","Asistentes Tesorería","Técnicos Profesionales - Tecnólogos","30","18","0.01","0","-4","0"
"162","Asistentes de Mercadeo, Publicidad y Comunicaciones","Técnicos Profesionales - Tecnólogos",,"624",,"0.16","10",
"163","Técnicos en Química Aplicada","Técnicos Profesionales - Tecnólogos","775","671","0.16","0.17","-1.34","-0.02"
"164","Técnicos en Geología y Minería","Técnicos Profesionales - Tecnólogos","65","29","0.01","0.01","-5.54","-0.01"
"165","Técnicos en Meteorología","Técnicos Profesionales - Tecnólogos","27","1","0.01","0","-9.63","-0.01"
"166","Técnicos en Metrología","Técnicos Profesionales - Tecnólogos","51","49","0.01","0.01","-0.39","0"
"167","Técnicos en Ciencias Biológicas","Técnicos Profesionales - Tecnólogos","76","58","0.02","0.01","-2.37","0"
"168","Técnicos en Recursos Naturales","Técnicos Profesionales - Tecnólogos","1,022","1,271","0.21","0.32","2.44","0.05"
"169","Técnicos en Prevención, Gestión y Control Ambiental","Técnicos Profesionales - Tecnólogos","799","855","0.17","0.22","0.7","0.01"
"170","Técnicos en Construcción y Arquitectura","Técnicos Profesionales - Tecnólogos","1,027","732","0.21","0.19","-2.87","-0.06"
"171","Técnicos en Mecánica y Construcción Mecánica","Técnicos Profesionales - Tecnólogos","560","354","0.12","0.09","-3.68","-0.04"
"172","Técnicos en Fabricación Industrial","Técnicos Profesionales - Tecnólogos","1,297","1,624","0.27","0.41","2.52","0.07"
"173","Técnicos en Electricidad","Técnicos Profesionales - Tecnólogos","403","190","0.08","0.05","-5.29","-0.04"
"174","Técnicos en Electrónica","Técnicos Profesionales - Tecnólogos","411","245","0.09","0.06","-4.04","-0.03"
"175","Técnicos en Automatización e Instrumentación","Técnicos Profesionales - Tecnólogos","105","140","0.02","0.04","3.33","0.01"
"176","Técnicos en Instrumentos de Aeronavegación","Técnicos Profesionales - Tecnólogos","5","3","0","0","-4","0"
"177","Técnicos en Telecomunicaciones","Técnicos Profesionales - Tecnólogos","163","73","0.03","0.02","-5.52","-0.02"
"178","Dibujantes Técnicos","Técnicos Profesionales - Tecnólogos","897","539","0.19","0.14","-3.99","-0.07"
"179","Topógrafos","Técnicos Profesionales - Tecnólogos","178","111","0.04","0.03","-3.76","-0.01"
"180","Técnicos en Cartografía","Técnicos Profesionales - Tecnólogos","23","12","0","0","-4.78","0"
"181","Inspectores de Pruebas No destructivas","Técnicos Profesionales - Tecnólogos","4","6","0","0","5","0"
"182","Inspectores de Sanidad, Seguridad y Salud Ocupacional","Técnicos Profesionales - Tecnólogos","1,133","659","0.24","0.17","-4.18","-0.1"
"183","Inspectores de Construcción","Técnicos Profesionales - Tecnólogos","94","42","0.02","0.01","-5.53","-0.01"
"184","Inspectores de Equipos de Transporte e Instrumentos de Medición","Técnicos Profesionales - Tecnólogos","29","3","0.01","0","-8.97","-0.01"
"185","Inspectores de Productos Agrícola, Pecuarios y de Pesca","Técnicos Profesionales - Tecnólogos","28","85","0.01","0.02","20.36","0.01"
"186","Inspectores de Riego Agrícola","Técnicos Profesionales - Tecnólogos","12","3","0","0","-7.5","0"
"187","Coordinadores de Sistemas Integrados de Gestión","Técnicos Profesionales - Tecnólogos",,"412",,"0.11","10",
"188","Pilotos, Ingenieros e Instructores de Vuelo","Técnicos Profesionales - Tecnólogos","80","12","0.02","0","-8.5","-0.01"
"189","Controladores de Tráfico Aéreo","Técnicos Profesionales - Tecnólogos","3","3","0","0","0","0"
"190","Capitanes y Oficiales de Cubierta","Técnicos Profesionales - Tecnólogos","7","46","0","0.01","55.71","0.01"
"191","Oficiales de Máquinas","Técnicos Profesionales - Tecnólogos","5","5","0","0","0","0"
"192","Controladores de Tráfico Ferroviario y Marítimo","Técnicos Profesionales - Tecnólogos","6","24","0","0.01","30","0"
"193","Despachadores de Aeronaves","Técnicos Profesionales - Tecnólogos","2","4","0","0","10","0"
"194","Técnicos en Tecnologías de la Información","Técnicos Profesionales - Tecnólogos","4,047","3,974","0.84","1.01","-0.18","-0.02"
"195","Técnicos de Laboratorio Médico y Patología","Técnicos Profesionales - Tecnólogos","47","39","0.01","0.01","-1.7","0"
"196","Técnicos en Terapia Respiratoria y Cardiovascular","Técnicos Profesionales - Tecnólogos","18","22","0","0.01","2.22","0"
"197","Técnicos en Imágenes Diagnósticas","Técnicos Profesionales - Tecnólogos","32","60","0.01","0.02","8.75","0.01"
"198","Técnicos en Radioterapia","Técnicos Profesionales - Tecnólogos","4","6","0","0","5","0"
"199","Instrumentadores Quirúrgicos","Técnicos Profesionales - Tecnólogos","39","39","0.01","0.01","0","0"
"200","Técnicos en Medicina Nuclear","Técnicos Profesionales - Tecnólogos","1","0","0",,"-10","0"
"201","Regentes de farmacia","Técnicos Profesionales - Tecnólogos",,"67",,"0.02","10",
"202","Higienistas Dentales","Técnicos Profesionales - Tecnólogos","75","27","0.02","0.01","-6.4","-0.01"
"203","Técnicos Ópticos","Técnicos Profesionales - Tecnólogos","17","3","0","0","-8.24","0"
"204","Practicantes de Medicina Alternativa","Técnicos Profesionales - Tecnólogos","197","9","0.04","0","-9.54","-0.04"
"205","Asistentes de Ambulancia y Otras Ocupaciones Paramédicas","Técnicos Profesionales - Tecnólogos","74","53","0.02","0.01","-2.84","0"
"206","Otras Ocupaciones Técnicas en Terapia y Valoración n.c.a.","Técnicos Profesionales - Tecnólogos","1","2","0","0","10","0"
"207","Asistentes en Servicios Social y Comunitario","Técnicos Profesionales - Tecnólogos","657","294","0.14","0.08","-5.53","-0.08"
"208","Consejeros de Servicios de Empleo","Técnicos Profesionales - Tecnólogos","10","133","0","0.03","123","0.03"
"209","Instructores y Profesores de Personas en Condición de Discapacidad","Técnicos Profesionales - Tecnólogos","20","3","0","0","-8.5","0"
"210","Otros Instructores","Técnicos Profesionales - Tecnólogos","256","177","0.05","0.05","-3.09","-0.02"
"211","Ocupaciones Religiosas","Técnicos Profesionales - Tecnólogos","7","5","0","0","-2.86","0"
"212","Investigadores criminalísticos y judiciales","Técnicos Profesionales - Tecnólogos","168","74","0.03","0.02","-5.6","-0.02"
"213","Asistentes Legales y Afines","Técnicos Profesionales - Tecnólogos","274","153","0.06","0.04","-4.42","-0.03"
"214","Ocupaciones Técnicas Relacionadas con Museos y Galerías","Técnicos Profesionales - Tecnólogos","10","4","0","0","-6","0"
"215","Técnicos en Biblioteca","Técnicos Profesionales - Tecnólogos","70","29","0.01","0.01","-5.86","-0.01"
"216","Técnicos en Promoción y Animación a la Lectura y la Escritura","Técnicos Profesionales - Tecnólogos","439","45","0.09","0.01","-8.97","-0.08"
"217","Fotógrafos","Técnicos Profesionales - Tecnólogos","63","34","0.01","0.01","-4.6","-0.01"
"218","Operadores de Cámara de Cine y Televisión","Técnicos Profesionales - Tecnólogos","153","57","0.03","0.01","-6.27","-0.02"
"219","Técnicos en Diseño y Arte Gráfico","Técnicos Profesionales - Tecnólogos","53","37","0.01","0.01","-3.02","0"
"220","Técnicos en Transmisión de Radio y Televisión","Técnicos Profesionales - Tecnólogos","13","6","0","0","-5.38","0"
"221","Otras Ocupaciones Técnicas en Cine, Televisión y Artes Escénicas n.c.a.","Técnicos Profesionales - Tecnólogos","8","5","0","0","-3.75","0"
"222","Ocupaciones de Asistencia en Cine, Televisión y Artes Escénicas","Técnicos Profesionales - Tecnólogos","124","42","0.03","0.01","-6.61","-0.02"
"223","Productores de Campo para Cine y Televisión","Técnicos Profesionales - Tecnólogos","17","4","0","0","-7.65","0"
"224","Locutores de Radio, Televisión y Otros Medios de Comunicación.","Técnicos Profesionales - Tecnólogos","21","37","0","0.01","7.62","0"
"225","Curadores y Supervisores Musicales","Técnicos Profesionales - Tecnólogos","12","44","0","0.01","26.67","0.01"
"226","Otros artistas","Técnicos Profesionales - Tecnólogos","3","5","0","0","6.67","0"
"227","Diseñadores de Interiores","Técnicos Profesionales - Tecnólogos","46","75","0.01","0.02","6.3","0.01"
"228","Diseñadores de Teatro, Moda, Exhibición y Otros Diseñadores Creativos","Técnicos Profesionales - Tecnólogos","358","176","0.07","0.04","-5.08","-0.04"
"229","Patronistas de Productos de Tela, Cuero y Piel","Técnicos Profesionales - Tecnólogos","158","82","0.03","0.02","-4.81","-0.02"
"230","Ilustradores","Técnicos Profesionales - Tecnólogos","16","2","0","0","-8.75","0"
"231","Graficadores de Imágenes Computarizadas","Técnicos Profesionales - Tecnólogos","84","78","0.02","0.02","-0.71","0"
"232","Deportistas","Técnicos Profesionales - Tecnólogos","48","15","0.01","0","-6.88","-0.01"
"233","Entrenadores y Preparadores Físicos","Técnicos Profesionales - Tecnólogos","871","692","0.18","0.18","-2.06","-0.04"
"234","Árbitros","Técnicos Profesionales - Tecnólogos","64","6","0.01","0","-9.06","-0.01"
"235","Ceramistas","Técnicos Profesionales - Tecnólogos","209","9","0.04","0","-9.57","-0.04"
"236","Tejedores","Técnicos Profesionales - Tecnólogos","146","140","0.03","0.04","-0.41","0"
"237","Artesanos Trabajos en Maderables y No Maderables","Técnicos Profesionales - Tecnólogos","116","53","0.02","0.01","-5.43","-0.01"
"238","Artesanos Trabajos en Cuero","Técnicos Profesionales - Tecnólogos","31","26","0.01","0.01","-1.61","0"
"239","Artesanos Trabajos en Metal","Técnicos Profesionales - Tecnólogos","125","51","0.03","0.01","-5.92","-0.02"
"328","Auxiliares administrativos en Salud","Calificados","1,125","512","0.06","0.04","-5.45","-0.03"
"240","Otros Artesanos n.c.a.","Técnicos Profesionales - Tecnólogos","1,358","768","0.28","0.2","-4.34","-0.12"
"241","Artesanos trabajos en vidrio","Técnicos Profesionales - Tecnólogos","5","3","0","0","-4","0"
"242","Artesanos trabajos en materiales líticos","Técnicos Profesionales - Tecnólogos","0","0",,,,
"243","Artesanos trabajos en papel","Técnicos Profesionales - Tecnólogos","25","5","0.01","0","-8","0"
"244","Supervisores de Ventas","Técnicos Profesionales - Tecnólogos","252","101","0.05","0.03","-5.99","-0.03"
"245","Administradores y Supervisores de Comercio al Por Menor","Técnicos Profesionales - Tecnólogos","1,358","903","0.28","0.23","-3.35","-0.09"
"246","Supervisores de Servicios de Alimentos","Técnicos Profesionales - Tecnólogos","283","111","0.06","0.03","-6.08","-0.04"
"247","Supervisores de Personal de Manejo Doméstico","Técnicos Profesionales - Tecnólogos","86","58","0.02","0.01","-3.26","-0.01"
"248","Sommeliers","Técnicos Profesionales - Tecnólogos","1","0","0",,"-10","0"
"249","Supervisores de servicios de Alojamiento y Hospedaje","Técnicos Profesionales - Tecnólogos","42","45","0.01","0.01","0.71","0"
"250","Suboficiales de las Fuerzas Militares","Técnicos Profesionales - Tecnólogos","538","36","0.11","0.01","-9.33","-0.1"
"251","Suboficiales y nivel ejecutivo de la Policía","Técnicos Profesionales - Tecnólogos","187","116","0.04","0.03","-3.8","-0.01"
"252","Supervisores de Vigilantes","Técnicos Profesionales - Tecnólogos","92","90","0.02","0.02","-0.22","0"
"253","Suboficiales del Cuerpo de Custodia y Vigilancia","Técnicos Profesionales - Tecnólogos","5","2","0","0","-6","0"
"254","Suboficiales de Bomberos","Técnicos Profesionales - Tecnólogos","0","0",,,,
"255","Agentes y Corredores de Seguros","Técnicos Profesionales - Tecnólogos","434","905","0.09","0.23","10.85","0.1"
"256","Agentes de Bienes Raíces","Técnicos Profesionales - Tecnólogos","61","32","0.01","0.01","-4.75","-0.01"
"257","Vendedores de Ventas Técnicas","Técnicos Profesionales - Tecnólogos","1,609","930","0.33","0.24","-4.22","-0.14"
"258","Agentes de Compras e Intermediarios","Técnicos Profesionales - Tecnólogos","390","312","0.08","0.08","-2","-0.02"
"259","Representante de servicios especializados","Técnicos Profesionales - Tecnólogos","91","78","0.02","0.02","-1.43","0"
"260","Administradores de Comunidades Virtuales","Técnicos Profesionales - Tecnólogos","67","68","0.01","0.02","0.15","0"
"261","Agentes y Promotores Artísticos","Técnicos Profesionales - Tecnólogos",,"21",,"0.01","10",
"262","Coordinadores y Productores de Eventos y Espectáculos","Técnicos Profesionales - Tecnólogos","354","373","0.07","0.1","0.54","0"
